,libdept,com,libcom,lat_com,lon_com
0,Ardennes,08001,Acy-Romance,49.49172616536151,4.327816632358819
1,Ardennes,08003,Aiglemont,49.78977999029375,4.770136569777283
2,Ardennes,08004,Aire,49.47049269157796,4.164039747601497
3,Ardennes,08005,Alincourt,49.4031493484573,4.34492069628879
4,Ardennes,08006,Alland'Huy-et-Sausseuil,49.51238151715388,4.550121842264097
5,Ardennes,08008,Amagne,49.51636212687097,4.503296770022286
6,Ardennes,08010,Ambly-Fleury,49.4889784588592,4.4892810163149965
7,Ardennes,08011,Anchamps,49.924898749855,4.665548879019719
8,Ardennes,08013,Angecourt,49.63468568009024,4.977004402821781
9,Ardennes,08014,Annelles,49.43164357740592,4.4139704686612715
10,Ardennes,08015,Antheny,49.84446334988862,4.304751013771975
11,Ardennes,08016,Aouste,49.79553188108581,4.313379718921468
12,Ardennes,08017,Apremont,49.2595327799741,4.967977752261619
13,Ardennes,08018,Ardeuil-et-Montfauxelles,49.26774851602184,4.705291879255037
14,Ardennes,08019,Les Grandes-Armoises,49.529318887054025,4.899086186785315
15,Ardennes,08020,Les Petites-Armoises,49.500597334664576,4.82938736669429
16,Ardennes,08021,Arnicourt,49.5539905967793,4.341324662692039
17,Ardennes,08022,Arreux,49.82638095297819,4.661149713788567
18,Ardennes,08023,Artaise-le-Vivier,49.571857027218144,4.89298357392055
19,Ardennes,08024,Asfeld,49.47324759902769,4.123562874659942
20,Ardennes,08025,Attigny,49.476192524232346,4.585097064599564
21,Ardennes,08026,Aubigny-les-Pothées,49.7646129975465,4.428405487563908
22,Ardennes,08027,Auboncourt-Vauzelles,49.55672903772489,4.482182347294105
23,Ardennes,08028,Aubrives,50.0879714612444,4.766591484045737
24,Ardennes,08029,Auflance,49.61510194267369,5.295033688713693
25,Ardennes,08030,Auge,49.85747272572103,4.2675369149149995
26,Ardennes,08031,Aure,49.27634455258322,4.623075535523072
27,Ardennes,08032,Aussonce,49.34595612768509,4.327339447173065
28,Ardennes,08033,Authe,49.46000807922366,4.877663107497488
29,Ardennes,08034,Autrecourt-et-Pourron,49.60656181643418,5.019181262979346
30,Ardennes,08035,Autruche,49.45362537275391,4.905391233760293
31,Ardennes,08036,Autry,49.26598783205003,4.8318748381256125
32,Ardennes,08037,Auvillers-les-Forges,49.866400060428724,4.361018030794631
33,Ardennes,08038,Avançon,49.48073433241154,4.250694418610294
34,Ardennes,08039,Avaux,49.46572029600032,4.068713975013284
35,Ardennes,08040,Les Ayvelles,49.72187401492828,4.75326537205377
36,Ardennes,08041,Baâlons,49.60185728181201,4.666850196459621
37,Ardennes,08043,Balan,49.689793789610995,4.963916055415139
38,Ardennes,08044,Balham,49.49129001949758,4.150650741383299
39,Ardennes,08045,Ballay,49.42186804355021,4.749845473342838
40,Ardennes,08046,Banogne-Recouvrance,49.57042871617081,4.132946539247399
41,Ardennes,08047,Barbaise,49.67664940436455,4.579357233642194
42,Ardennes,08048,Barby,49.5250314796963,4.315162127951136
43,Ardennes,08049,Bar-lès-Buzancy,49.44597639530182,4.957204540409519
44,Ardennes,08052,Bayonville,49.39667213230622,5.011302940483977
45,Ardennes,08053,Bazeilles,49.716879585286115,5.028395920137791
46,Ardennes,08055,Beaumont-en-Argonne,49.527828858049375,5.0355290591174064
47,Ardennes,08056,Beffu-et-le-Morthomme,49.37226154862571,4.89182324789303
48,Ardennes,08057,Belleville-et-Châtillon-sur-Bar,49.4661462238709,4.8170724217833305
49,Ardennes,08058,Belval,49.77343388406851,4.638068203529825
50,Ardennes,08059,Belval-Bois-des-Dames,49.48189866528651,5.043794637937799
51,Ardennes,08060,Bergnicourt,49.420652112962586,4.246837317370082
52,Ardennes,08061,La Berlière,49.52657120043043,4.937107001024922
53,Ardennes,08062,Bertoncourt,49.5395237864422,4.401836031078157
54,Ardennes,08063,La Besace,49.55377904430908,4.969461060591777
55,Ardennes,08064,Biermes,49.47703154500121,4.384544103398462
56,Ardennes,08065,Bièvres,49.557820294229465,5.277834330347157
57,Ardennes,08066,Bignicourt,49.38994596658266,4.422001924625942
58,Ardennes,08067,Blagny,49.623225724230466,5.198108680724094
59,Ardennes,08069,Blanchefosse-et-Bay,49.76606734624593,4.252441536325546
60,Ardennes,08070,Blanzy-la-Salonnaise,49.487227583360834,4.19014163649339
61,Ardennes,08071,Blombay,49.81546620480966,4.453896614054481
62,Ardennes,08073,Bossus-lès-Rumigny,49.83938301118992,4.256111870371898
63,Ardennes,08074,Bouconville,49.258301343289624,4.773912295461921
64,Ardennes,08075,Boult-aux-Bois,49.41955143039771,4.83521043660114
65,Ardennes,08076,Boulzicourt,49.689966845572634,4.697310464481621
66,Ardennes,08077,Bourcq,49.38235283731998,4.617591514199374
67,Ardennes,08078,Bourg-Fidèle,49.88900823448947,4.554921973955103
68,Ardennes,08080,Bouvellemont,49.58408984983415,4.664614422130081
69,Ardennes,08081,Bogny-sur-Meuse,49.84808570249712,4.750944249661754
70,Ardennes,08082,Brécy-Brières,49.33171058232982,4.75511108846132
71,Ardennes,08083,Brévilly,49.65906383456963,5.078871138136097
72,Ardennes,08084,Brienne-sur-Aisne,49.4257912275901,4.063074035662063
73,Ardennes,08085,Brieulles-sur-Bar,49.48120719887933,4.862084904530241
74,Ardennes,08086,Briquenay,49.40389035306655,4.868965428467395
75,Ardennes,08087,Brognon,49.933189656720096,4.281425615414678
76,Ardennes,08088,Bulson,49.62928741435974,4.914392813271999
77,Ardennes,08089,Buzancy,49.418410687986615,4.973884901358414
78,Ardennes,08090,Carignan,49.63848274860424,5.171349990402387
